distance,duration
11985.58,13.58
9555.38,11.75
10312.19,12.0
9444.36,11.58
3054.91,4.58
9577.92,11.83
1669.28,3.5
1001.29,2.17
1001.29,1.92
1878.22,3.5
4264.23,5.43
4264.23,5.38
4264.23,5.47
4264.23,5.95
4264.23,5.72
4264.23,5.52
4264.23,5.62
4264.23,5.35
4264.23,5.35
5188.1,7.83
4071.17,6.08
2992.77,4.0
6365.65,7.75
6365.65,7.3
6365.65,7.5
6365.65,7.6
6365.65,7.07
6365.65,7.68
6365.65,7.62
6365.65,7.67
6365.65,7.25
6365.65,7.57
6365.65,7.42
3999.07,5.0
3999.07,5.0
10621.86,14.67
2943.82,3.67
5021.05,6.92
4080.06,4.92
1161.06,2.33
3532.91,5.75
3532.91,5.75
4268.33,6.42
4002.23,6.08
4241.84,6.75
4080.22,6.42
3950.68,6.25
3950.68,6.25
2037.96,2.87
4236.81,5.75
4236.81,4.58
3307.22,22.93
3127.73,3.9
5231.03,6.08
5231.03,6.75
5231.03,6.08
5231.03,7.5
5231.03,6.08
5231.03,6.33
5361.56,6.5
4445.44,9.75
6495.61,7.83
7004.19,3.17
7344.01,9.17
2988.84,4.58
2174.39,2.87
4170.65,5.5
4170.65,6.0
4170.65,5.83
4170.65,5.5
3768.31,5.92
3881.89,6.17
1390.09,2.17
3979.99,5.25
5111.96,6.0
5111.96,6.0
8665.31,11.42
2383.11,4.0
523.44,1.33
4595.59,7.52
4270.67,6.42
5379.31,6.78
4934.23,7.3
4934.23,6.47
3472.85,4.75
4407.52,5.5
4407.52,5.33
4407.52,5.75
4407.52,5.33
4407.52,5.18
5772.64,7.08
3499.75,5.08
3499.75,4.13
2816.17,4.08
3530.02,6.58
1756.03,3.25
2193.88,3.67
2250.93,3.83
1603.67,3.17
1603.67,2.92
1390.09,2.67
1951.03,4.0
418.14,1.08
418.14,1.17
1481.57,2.58
2927.33,4.5
2442.16,4.08
2442.16,3.4
4059.37,6.25
466.18,1.33
3072.64,5.0
2572.1,4.25
2720.4,4.17
2720.4,4.17
3132.07,4.5
6933.92,17.08
6933.92,7.6
6933.92,9.42
618.73,1.58
2915.97,3.78
3192.0,5.0
2892.18,4.67
2032.66,2.73
2504.15,4.0
7623.82,9.77
7623.82,10.07
5399.67,6.82
6945.74,8.9
1057.67,2.17
4424.65,7.0
5479.07,7.18
4135.6,6.25
3559.95,4.93
4027.8,6.08
4027.8,5.5
4034.39,5.88
116.15,0.4
132.48,0.42
4362.39,6.5
3617.71,4.75
3617.71,4.83
3617.71,4.58
13482.69,17.02
5730.62,7.67
5267.07,6.67
2668.15,4.02
4755.44,7.17
4755.44,7.0
4537.43,7.58
3199.8,5.17
116.15,0.38
116.15,0.25
3536.93,4.42
3536.93,4.58
3536.93,4.75
3536.93,4.25
3536.93,4.58
3536.93,4.5
3536.93,4.67
1443.86,2.42
1443.86,2.5
3561.35,5.42
3561.35,0.17
4090.38,7.08
5912.62,8.2
3500.52,5.15
3204.56,4.4
3204.56,4.4
4467.48,6.67
2670.02,4.67
132.48,0.27
17.52,0.4
1669.28,2.92
3520.9,4.42
3520.9,4.67
3520.9,4.42
3520.9,4.42
3520.9,4.42
3520.9,4.67
3520.9,4.42
3404.73,5.0
3404.73,5.0
1585.61,3.08
4476.46,6.92
4796.59,7.17
5108.93,7.08
5108.93,7.08
5108.93,7.2
3262.24,4.33
3262.24,4.67
3262.24,4.5
3262.24,4.25
3262.24,4.07
4862.86,7.75
4636.07,7.5
5250.33,8.17
5105.23,7.83
5105.23,8.0
5105.23,7.83
5105.23,8.0
5341.72,7.92
11670.12,14.83
1672.09,2.57
320.36,0.52
1175.13,2.42
723.09,1.42
723.09,1.18
1097.78,2.17
1123.67,2.05
2010.49,3.5
1530.99,2.42
1097.78,1.83
1492.53,2.42
6649.23,9.83
2753.97,4.33
12400.67,13.33
6918.29,10.67
7961.68,11.38
1227.8,2.25
1227.8,3.02
59.63,0.27
59.63,0.25
59.63,0.43
59.63,0.28
7832.15,9.47
9594.8,14.92
59.63,0.48
59.63,1.92
5129.13,9.22
2096.4,3.23
31.59,0.87
31.59,0.28
31.59,0.23
31.59,0.37
31.59,0.22
31.59,0.25
31.59,0.67
31.59,0.22
31.59,0.33
90.1,0.43
90.1,0.42
90.1,0.55
6200.35,6.72
6200.35,7.68
6791.61,5.5
5760.88,6.5
7750.91,9.77
8540.97,11.0
8540.97,10.48
7729.33,9.83
7729.33,5.5
5348.98,4.5
9857.45,11.25
9250.75,10.03
9250.75,10.22
5307.83,5.88
5307.83,6.18
28.25,0.03
28.25,0.37
8616.71,10.75
6389.26,3.83
7866.28,10.17
878.04,2.22
4878.45,7.67
4013.25,5.68
4440.08,6.5
3979.99,6.33
4236.81,6.83
3721.69,5.4
1116.5,1.57
872.21,1.67
872.21,1.92
2489.89,4.57
3622.36,5.0
4515.28,7.17
1357.1,1.5
5219.6,6.7
3444.45,4.57
4841.98,6.43
2624.85,3.62
2014.33,3.92
418.14,1.25
1441.24,21.0
4177.12,5.12
4177.12,4.87
6248.67,8.0
6248.67,8.0
6248.67,7.8
6248.67,7.48
6248.67,7.27
6248.67,7.37
4668.3,6.67
896.83,1.67
4362.39,6.25
8716.48,1.83
6056.56,7.75
6798.02,0.83
7608.73,10.0
3552.49,5.83
3552.49,7.17
1443.86,2.83
1443.86,2.5
1443.86,2.5
1547.46,2.5
2027.06,3.67
2027.06,3.67
2027.06,3.67
4889.67,7.0
5892.19,8.0
5892.19,8.0
5660.42,7.5
5660.42,7.5
2517.71,3.5
5845.15,7.5
2533.21,4.33
2125.65,3.92
1347.35,2.67
3127.73,4.72
3127.73,4.38
3127.73,3.0
1116.5,1.38
1116.5,1.0
5121.59,22.0
1952.26,22.0
2674.16,4.33
4794.61,12.27
3307.22,9.55
3307.22,10.12
3307.22,9.65
1441.24,7.13
4403.05,5.92
3966.14,5.8
4969.24,6.05
1175.13,2.33
5153.12,7.17
5153.12,6.78
2488.49,4.33
2488.49,5.83
2488.49,4.3
4080.23,6.28
4143.28,5.58
4843.36,6.5
4843.36,6.67
4843.36,7.08
3941.67,5.33
3941.67,5.42
3941.67,5.33
3857.92,5.07
5184.96,8.08
6563.03,9.0
7624.41,10.08
7474.61,9.67
3738.84,0.92
3027.44,4.25
3027.44,4.0
43.44,0.33
3404.73,5.0
3404.73,5.0
2197.0,22.42
2073.45,3.33
3294.75,5.75
2360.73,3.33
6849.27,9.83
1887.85,2.75
1887.85,2.83
3007.71,4.25
8021.09,11.0
2165.76,3.17
2165.76,3.25
2165.76,3.25
2165.76,2.97
4858.33,5.73
1150.52,1.83
6574.65,9.25
5129.13,5.72
239.17,0.92
239.17,0.92
239.17,1.0
239.17,0.35
239.17,0.43
640.89,1.72
2541.52,3.58
8069.47,11.83
3663.93,6.0
3748.14,6.17
3647.61,5.82
5712.18,7.5
8014.98,11.58
5231.03,7.58
5231.03,6.83
5231.03,7.58
5231.03,7.58
5231.03,7.0
5231.03,7.33
5231.03,8.17
4407.52,6.75
4407.52,6.75
4407.52,6.75
4407.52,6.58
5111.96,7.75
5111.96,8.0
3999.07,6.42
3999.07,6.42
4080.06,6.33
3536.93,5.42
3536.93,5.83
3536.93,5.42
3536.93,5.83
3536.93,5.83
3536.93,5.5
3536.93,5.33
3617.71,5.92
3617.71,6.0
3617.71,4.68
3617.71,5.33
3617.71,5.15
3520.9,5.67
3520.9,5.67
3520.9,5.67
3520.9,5.25
3520.9,5.67
3520.9,5.67
3520.9,5.65
3262.24,5.08
3262.24,5.17
3262.24,5.0
3262.24,4.83
3262.24,4.73
2353.65,3.35
4177.12,6.12
4177.12,5.65
4177.12,6.08
239.17,1.25
239.17,1.0
239.17,0.58
239.17,1.0
1887.85,3.5
1887.85,3.42
1887.85,2.8
1887.85,2.73
661.79,1.75
661.79,1.75
661.79,1.75
661.79,1.5
661.79,1.3
1617.39,2.67
1617.39,2.75
1617.39,2.83
2165.76,3.42
2165.76,3.6
2165.76,3.6
2409.06,3.5
2409.06,3.15
2409.06,3.38
1425.41,2.75
1425.41,3.0
1425.41,2.83
1608.36,2.67
1608.36,2.58
2836.65,4.0
2642.34,4.17
2642.34,3.92
2642.34,3.92
2642.34,3.83
2642.34,4.0
2642.34,3.83
2642.34,3.92
2642.34,3.92
2898.23,4.25
2898.23,4.08
2898.23,4.25
2898.23,3.83
2898.23,4.25
3040.3,5.0
2331.2,3.33
2331.2,3.5
2331.2,3.67
2331.2,3.67
1568.32,2.5
1568.32,2.75
1568.32,2.67
1568.32,2.83
1568.32,2.5
3912.67,5.67
3912.67,5.67
3912.67,5.67
3912.67,6.08
3912.67,6.5
2997.29,4.83
1445.82,2.58
5962.33,9.17
5962.33,8.75
6365.65,8.77
9444.36,11.17
2096.4,3.82
2096.4,3.13
6875.84,8.52
6875.84,9.17
2409.06,4.42
2409.06,3.57
2409.06,4.33
2409.06,3.37
4221.38,5.68
4221.38,5.23
14451.57,19.5
4281.04,5.7
4281.04,6.07
7137.14,10.92
6315.84,10.92
8009.37,9.57
1001.29,2.0
1347.35,3.17
4352.46,4.83
4772.78,6.83
3731.41,4.83
1425.41,2.25
1425.41,2.5
1425.41,2.33
4291.48,5.75
3643.34,5.9
4721.12,6.13
1090.94,2.5
640.89,1.42
640.89,1.47
640.89,1.58
661.79,1.42
661.79,1.42
661.79,1.42
661.79,1.42
7171.9,8.93
7171.9,9.18
7171.9,8.58
3499.75,5.83
3632.18,5.5
7547.72,10.68
7878.5,3.83
1617.39,2.58
1617.39,2.08
1617.39,2.3
1617.39,3.0
2869.53,4.08
2869.53,3.95
3616.49,4.47
4558.71,6.08
3392.44,5.33
407.68,1.0
2530.45,4.42
1794.69,2.92
3286.81,4.5
7883.97,10.5
7344.92,9.67
7503.61,9.75
7263.65,9.83
7803.97,10.75
2707.45,3.43
4668.3,7.25
6563.03,9.5
4143.28,5.58
2836.65,4.17
9299.03,12.67
8311.72,12.23
8311.72,12.75
9978.12,13.92
9978.12,12.63
9892.63,12.58
8690.72,12.4
9326.42,12.67
7472.45,10.35
7472.45,10.25
5772.64,8.33
6495.61,9.0
7474.61,10.5
1006.12,1.75
3368.13,4.75
5662.67,7.17
3754.56,5.92
1822.61,2.92
4889.67,8.0
4080.23,6.68
1608.36,2.92
1608.36,2.67
2869.53,4.03
2869.53,4.1
1123.75,2.0
1868.37,2.9
1772.16,3.0
5369.88,7.75
4515.28,7.83
4843.36,7.33
4843.36,8.0
4843.36,7.17
6425.29,8.15
1582.58,2.48
1026.84,1.83
1768.73,3.25
1006.12,1.75
3243.56,5.08
2875.76,4.08
3985.76,6.17
9791.63,12.88
7499.72,10.0
2642.34,3.92
2642.34,4.0
2642.34,3.92
2642.34,4.08
2642.34,3.83
2642.34,4.0
2642.34,3.83
2642.34,3.92
8179.73,10.0
5892.19,8.0
5446.53,7.17
2796.62,4.42
2898.23,4.25
2898.23,4.25
2898.23,4.0
2898.23,4.17
2898.23,4.25
13364.85,14.9
5007.19,6.33
8566.08,11.58
3054.91,4.25
6875.84,8.25
5886.02,8.08
13835.83,15.58
6352.78,9.33
3941.67,6.25
3941.67,6.33
3941.67,6.33
3040.3,5.92
10106.3,15.0
9577.92,12.08
2541.52,4.75
2331.2,4.42
2331.2,4.25
2331.2,3.83
2331.2,4.5
1929.59,3.08
1929.59,3.42
2393.22,3.48
2393.22,3.2
2393.22,3.7
1746.37,2.62
1746.37,2.52
1090.8,1.67
1090.8,1.58
1090.8,2.02
1772.16,3.5
3368.13,5.58
10580.11,12.63
1856.04,3.45
3381.98,5.03
1090.94,2.33
2796.62,4.25
6166.42,9.83
4850.84,7.67
3561.35,5.75
2517.71,4.25
3220.24,5.33
3412.2,5.17
1707.63,3.33
4713.28,7.17
4713.28,4.92
4713.28,5.67
4291.48,7.42
560.16,1.92
6250.84,7.1
10653.44,12.48
10653.44,13.22
9053.45,10.75
8764.68,11.08
9778.89,11.08
10580.11,14.38
10580.11,14.67
9280.56,6.58
5883.95,7.5
11022.96,11.62
7750.91,9.78
7505.5,9.08
13835.83,17.58
2277.9,3.57
8043.16,9.33
7844.92,9.33
6692.78,8.33
7767.71,8.88
7706.57,8.02
8537.37,10.05
11985.58,15.25
12400.67,16.58
7866.28,9.58
13364.85,16.83
8533.65,10.33
3268.36,4.53
6982.77,8.08
6728.7,4.75
8924.97,8.67
8217.93,9.67
10564.48,8.67
9413.66,8.67
6598.26,6.95
7086.13,9.67
10621.86,12.42
7729.33,9.42
7729.33,5.92
7729.33,6.33
33.4,0.88
33.4,1.02
2277.9,4.25
6827.11,6.33
7095.86,8.43
7094.11,11.27
8540.97,10.0
8561.36,10.42
8561.36,11.27
11804.03,13.33
9570.48,13.0
9570.48,13.33
5684.92,7.83
3727.59,6.22
3727.59,5.15
2401.21,3.67
2401.21,3.58
2148.11,3.33
4170.61,6.25
2691.75,3.75
2691.75,3.83
2444.34,3.42
2444.34,3.42
2444.34,3.42
2444.34,2.73
1653.09,2.75
1653.09,2.67
1653.09,2.75
1653.09,2.67
1894.99,3.17
1894.99,3.25
1894.99,3.17
1894.99,3.0
1935.27,3.25
1935.27,3.17
1935.27,3.17
1530.79,2.58
2559.47,3.98
1754.95,2.83
2143.92,3.08
2143.92,3.17
2143.92,3.17
2143.92,3.08
2143.92,3.08
2143.92,3.08
1384.63,2.42
1384.63,2.33
2037.66,3.25
2037.66,3.25
2037.66,3.17
2037.66,3.17
2037.66,3.33
1967.38,2.42
1884.85,2.92
1497.57,2.58
1497.57,1.97
3270.39,4.75
